chr	start	end	strand	pvalue	qvalue	meth.diff
CP045890.1	39275	39277	*	0.00141371393948804	0.00409377224789073	20
CP045890.1	148072	148074	*	0.00551550360908834	0.00409377224789073	11.1111111111111
CP045890.1	330926	330928	*	0.00497410435550283	0.00409377224789073	13.3333333333333
CP045890.1	548436	548438	*	0.00585826942929071	0.00409377224789073	11.6279069767442
CP045890.1	619143	619145	*	0.00182021951060006	0.00409377224789073	13.8888888888889
CP045890.1	878656	878658	*	0.00104991334208888	0.00409377224789073	15.3846153846154
CP045890.1	881062	881064	*	0.000994148577906791	0.00409377224789073	-12.1212121212121
CP045890.1	942020	942022	*	0.00521417727500573	0.00409377224789073	-15.1515151515152
CP045890.1	1083550	1083552	*	0.00047361582272922	0.00409377224789073	16.2162162162162
CP045890.1	1162536	1162538	*	0.00764340696419189	0.00409377224789073	-11.3636363636364
CP045890.1	1462920	1462922	*	0.00272433938990967	0.00409377224789073	-10.7142857142857
CP045890.1	1463627	1463629	*	0.0108215864234743	0.00409377224789073	11.6279069767442
CP045890.1	1507310	1507312	*	0.0225993686227323	0.00409377224789073	-10.4166666666667
CP045890.1	1750849	1750851	*	0.00315072617074605	0.00409377224789073	-12.5
CP045890.1	1980892	1980894	*	0.0220784271541951	0.00409377224789073	10.2040816326531
CP045890.1	2063388	2063390	*	0.00188529691206404	0.00409377224789073	-18.1818181818182
CP045890.1	2103702	2103704	*	0.00288032265292807	0.00409377224789073	14.7058823529412
CP045890.1	2124807	2124809	*	0.00160656730922769	0.00409377224789073	10.3448275862069
CP045890.1	2271984	2271986	*	0.0132155251951472	0.00409377224789073	-11.1111111111111
CP045890.1	2551803	2551805	*	0.00290944752922759	0.00409377224789073	-12.8205128205128
CP045890.1	2576031	2576033	*	0.00633644582650774	0.00409377224789073	-11.3207547169811
CP045890.1	3090911	3090913	*	0.00332108713839273	0.00409377224789073	-11.9047619047619
CP045890.1	3166882	3166884	*	0.00295882981794034	0.00409377224789073	15.7894736842105
CP045890.1	3239977	3239979	*	0.0128564141765296	0.00409377224789073	10.5263157894737
CP045890.1	3336231	3336233	*	0.00208497929550869	0.00409377224789073	15.7894736842105
CP045890.1	3482169	3482171	*	0.00811513983684375	0.00409377224789073	13.1578947368421
CP045890.1	3534282	3534284	*	0.0138682721314074	0.00409377224789073	-10.6382978723404
CP045890.1	3599181	3599183	*	0.00180552111782959	0.00409377224789073	-11.7647058823529
CP045890.1	3856257	3856259	*	0.0003501255408004	0.00409377224789073	18.75
CP045890.1	3880907	3880909	*	0.000238847598043516	0.00409377224789073	-14.2857142857143
CP045890.1	3942947	3942949	*	0.00238919353166171	0.00409377224789073	12.5
CP045890.1	3973594	3973596	*	0.000794071999972367	0.00409377224789073	12
CP045890.1	3990772	3990774	*	0.00243864137528703	0.00409377224789073	12
CP045890.1	4074889	4074891	*	0.0036227097730798	0.00409377224789073	13.0434782608696
CP045890.1	4181918	4181920	*	0.00158360065973959	0.00409377224789073	12.7659574468085
CP045890.1	4291288	4291290	*	0.00984613078267196	0.00409377224789073	10.2040816326531
CP045890.1	4451151	4451153	*	0.00706497294003087	0.00409377224789073	12.1951219512195
CP045890.1	4537463	4537465	*	0.00391591219953588	0.00409377224789073	-10.5263157894737
CP045890.1	4593137	4593139	*	0.0121829036879995	0.00409377224789073	11.7647058823529
CP045890.1	4598558	4598560	*	0.00304591126244432	0.00409377224789073	-14.2857142857143
CP045890.1	4731919	4731921	*	0.000177714647542646	0.00409377224789073	-15.7894736842105
CP045890.1	4855403	4855405	*	0.00162941436363451	0.00409377224789073	11.5384615384615
CP045890.1	4925301	4925303	*	0.000402104027612993	0.00409377224789073	-13.0434782608696
CP045890.1	5132372	5132374	*	0.000463362916941262	0.00409377224789073	13.953488372093
CP045890.1	5194830	5194832	*	0.00233799540697248	0.00409377224789073	17.6470588235294
CP045890.1	5244634	5244636	*	0.000599111666808233	0.00409377224789073	13.3333333333333
CP045890.1	6231739	6231741	*	0.00504072855214006	0.00409377224789073	-13.8888888888889
CP045890.1	6290259	6290261	*	0.00171978507697731	0.00409377224789073	12.5
CP045890.1	6584160	6584162	*	0.00515842768418924	0.00409377224789073	-11.4754098360656
CP045890.1	6616133	6616135	*	0.00601107334117772	0.00409377224789073	-10.2564102564103
CP045890.1	6760815	6760817	*	0.010271275672875	0.00409377224789073	10.9090909090909
CP045890.1	6885670	6885672	*	0.0107108889326394	0.00409377224789073	-11.3207547169811
CP045890.1	6922668	6922670	*	0.00183156182413678	0.00409377224789073	-10.7142857142857
CP045890.1	7006569	7006571	*	0.0019832214846119	0.00409377224789073	-10.3448275862069
CP045890.1	7072234	7072236	*	0.00264606102490273	0.00409377224789073	16.6666666666667
CP045890.1	7149963	7149965	*	0.00435372086693497	0.00409377224789073	12.5
CP045890.1	7156295	7156297	*	0.000972151017148624	0.00409377224789073	16.1290322580645
CP045890.1	7189941	7189943	*	0.00236324732986255	0.00409377224789073	-12.7659574468085
CP045890.1	7410679	7410681	*	0.000983017650036625	0.00409377224789073	-17.1428571428571
CP045890.1	8404287	8404289	*	0.00052088439224129	0.00409377224789073	13.953488372093
CP045890.1	8434337	8434339	*	0.00629398237634012	0.00409377224789073	-11.3636363636364
CP045890.1	8488689	8488691	*	0.00811717196794796	0.00409377224789073	-10.7142857142857
CP045890.1	8514142	8514144	*	0.00929952400797477	0.00409377224789073	13.6363636363636
CP045890.1	8592968	8592970	*	0.000544461159100113	0.00409377224789073	20
CP045890.1	8650426	8650428	*	0.00236861550652052	0.00409377224789073	-14.6341463414634
CP045890.1	8958529	8958531	*	0.0136054714425934	0.00409377224789073	-10.7142857142857
CP045890.1	9032710	9032712	*	0.00276039665363469	0.00409377224789073	-12.2448979591837
CP045890.1	9032754	9032756	*	0.00364254914535941	0.00409377224789073	-12.2448979591837
CP045890.1	9032765	9032767	*	0.00661682964275621	0.00409377224789073	-12.2448979591837
CP045890.1	9032776	9032778	*	0.000590167157082144	0.00409377224789073	-17.6470588235294
CP045890.1	9032787	9032789	*	0.000185966074212759	0.00409377224789073	-20.9302325581395
CP045890.1	9032798	9032800	*	0.0756459143097547	0.00409377224789073	-12.8571428571429
CP045890.1	9032820	9032822	*	0.0072331780032312	0.00409377224789073	-11.1111111111111
CP045890.1	9032940	9032942	*	0.0510697125312951	0.00409377224789073	10.8475648323846
CP045890.1	9033032	9033034	*	0.14752985991117	0.00409377224789073	-11.6625310173697
CP045890.1	9046378	9046380	*	0.000336165595706227	0.00409377224789073	25.1842751842752
CP045890.1	9102175	9102177	*	0.000541921028448218	0.00409377224789073	-10.7692307692308
CP045890.1	9147084	9147086	*	0.00101481890380354	0.00409377224789073	11.7647058823529
CP045890.1	9348296	9348298	*	0.0205131214080442	0.00409377224789073	10.3448275862069
CP045890.1	9380054	9380056	*	0.0028554677239039	0.00409377224789073	-13.6363636363636
CP045890.1	9383253	9383255	*	0.00243547881116187	0.00409377224789073	-10.2040816326531
CP045890.1	9416551	9416553	*	0.00112078005363548	0.00409377224789073	10.4477611940298
CP045890.1	9466518	9466520	*	0.00820249395955334	0.00409377224789073	-10.2040816326531
CP045890.1	9622873	9622875	*	0.00290944753135918	0.00409377224789073	12.8205128205128
CP045890.1	9681044	9681046	*	0.0704821527287892	0.00409377224789073	10.6227106227106
CP045890.1	9717772	9717774	*	0.0053933318844399	0.00409377224789073	10.7142857142857
CP045890.1	9795961	9795963	*	0.00426332929205176	0.00409377224789073	14.6341463414634
CP045890.1	9902026	9902028	*	0.00487244509944445	0.00409377224789073	12.2448979591837
CP045890.1	9932970	9932972	*	0.00324538063337243	0.00409377224789073	-10.9090909090909
CP045890.1	9951006	9951008	*	0.00183547862871257	0.00409377224789073	-13.6363636363636
CP045890.1	10032340	10032342	*	0.0135638826906226	0.00409377224789073	10.2040816326531
CP045890.1	11160840	11160842	*	0.00374021062979814	0.00409377224789073	11.9047619047619
CP045890.1	11404285	11404287	*	0.00676357105144936	0.00409377224789073	-11.7647058823529
CP045890.1	11506516	11506518	*	0.000446132981900583	0.00409377224789073	13.7254901960784
CP045890.1	11506558	11506560	*	0.0702688815429672	0.00409377224789073	10.0652376514445
CP045890.1	11563548	11563550	*	0.000547282316534635	0.00409377224789073	-12.7659574468085
CP045890.1	11614944	11614946	*	0.0137117242847919	0.00409377224789073	-10.4166666666667
CP045890.1	11774021	11774023	*	0.00264659363737298	0.00409377224789073	13.6363636363636
CP045890.1	11904778	11904780	*	0.0038271462657238	0.00409377224789073	12.5
CP045890.1	12055029	12055031	*	0.0121104077210706	0.00409377224789073	-12.5
CP045890.1	12082422	12082424	*	0.0073794737221866	0.00409377224789073	-10.3448275862069
CP045890.1	12180448	12180450	*	0.00230504189130251	0.00409377224789073	-15.3846153846154
CP045890.1	12375199	12375201	*	0.00389743393306089	0.00409377224789073	-17.1428571428571
CP045890.1	12597946	12597948	*	0.00640099806284406	0.00409377224789073	-11.5384615384615
CP045890.1	12770294	12770296	*	0.00279058765155406	0.00409377224789073	-18.75
CP045890.1	12809450	12809452	*	0.00716125751831688	0.00409377224789073	-12.2448979591837
CP045890.1	12825450	12825452	*	0.00153579867493136	0.00409377224789073	15.3846153846154
CP045890.1	12884705	12884707	*	0.00683255861172445	0.00409377224789073	14.2857142857143
CP045890.1	12915813	12915815	*	0.00146274140771391	0.00409377224789073	-19.3548387096774
CP045890.1	12919575	12919577	*	0.00522073017905745	0.00409377224789073	11.3636363636364
CP045890.1	12935257	12935259	*	0.00639414091773898	0.00409377224789073	13.3333333333333
CP045890.1	13021354	13021356	*	0.00152116362145399	0.00409377224789073	-13.3333333333333
CP045890.1	13127173	13127175	*	0.00429178668240343	0.00409377224789073	15.7894736842105
CP045890.1	13517111	13517113	*	0.00293142470484362	0.00409377224789073	11.3636363636364
CP045890.1	13731664	13731666	*	0.00172759276171959	0.00409377224789073	11.5384615384615
CP045890.1	13807592	13807594	*	0.00391661398261375	0.00409377224789073	-10.1694915254237
CP045890.1	13938670	13938672	*	0.0135223807991408	0.00409377224789073	-11.6279069767442
CP045890.1	14041404	14041406	*	0.00480823446386531	0.00409377224789073	-11.5384615384615
CP045890.1	14185604	14185606	*	0.00195957657532917	0.00409377224789073	-10.5263157894737
